census_tract_GEOID,eviction_rate,total_evictions,eviction_filings,foreclosure_sales,foreclosure_rate,lien_foreclosures,lien_foreclosure_rate,year
12057005500,0.5,2.0,4.0,3.0,0.6224066390041494,0.0,0.0,2017
12057005800,0.416666667,3.750000003,9.0,5.0,0.5055611729019212,1.0,0.0674308833445718,2017
12057006801,0.53,23.32,44.0,5.0,0.5296610169491525,0.0,0.0,2017
12057010205,0.378787879,4.924242427,13.0,11.0,0.5929919137466307,11.0,0.4506349856616141,2017
12057010303,0.5903614460000001,23.614457840000004,40.0,1.0,0.4385964912280701,,,2017
12057010702,0.408163265,8.97959183,22.0,0.0,0.0,1.0,0.1394700139470014,2017
12057003100,0.529801325,15.89403975,30.0,5.0,1.984126984126984,,,2017
12057001900,0.485380117,20.385964914,42.0,2.0,1.020408163265306,,,2017
12057002000,0.505882353,16.694117649,33.0,9.0,2.727272727272727,,,2017
12057002500,0.536170213,48.791489383,91.0,2.0,0.4273504273504274,1.0,0.1336898395721925,2017
12057003800,0.452054795,3.61643836,8.0,2.0,2.5,0.0,0.0,2017
12057010808,0.524050633,39.303797475,75.0,1.0,inf,1.0,2.702702702702702,2017
12057000300,0.508371385,65.07153728,128.0,12.0,2.0202020202020203,0.0,0.0,2017
12057005102,0.2666666669999999,9.866666678999998,37.0,0.0,0.0,2.0,0.1537279016141429,2017
12057004000,0.0,0.0,0.0,0.0,0.0,,,2017
12057004100,0.506329114,10.12658228,20.0,0.0,0.0,,,2017
12057010103,0.636363636,5.090909088,8.0,9.0,1.361573373676248,,,2017
12057011006,0.54,7.0200000000000005,13.0,10.0,0.8176614881439084,1.0,0.0549148819330038,2017
12057011108,0.4,1.2000000000000002,3.0,0.0,0.0,,,2017
12057011203,0.587301587,6.460317457,11.0,2.0,0.3663003663003663,5.0,0.53475935828877,2017
12057011206,0.476923077,14.30769231,30.0,3.0,0.8108108108108109,1.0,0.1564945226917058,2017
12057011407,0.6190476189999999,6.809523808999999,11.0,2.0,0.4081632653061224,3.0,0.4070556309362279,2017
12057011412,0.52688172,11.06451612,21.0,4.0,1.1019283746556474,0.0,0.0,2017
12057011507,0.420289855,4.623188405,11.0,3.0,0.2793296089385474,11.0,0.6802721088435374,2017
12057011509,0.4,2.0,5.0,5.0,0.3385240352064997,8.0,0.3879728419010669,2017
12057011516,0.540540541,5.945945951000001,11.0,3.0,0.6437768240343348,0.0,0.0,2017
12057011603,0.310344828,1.862068968,6.0,8.0,1.199400299850075,1.0,0.1058201058201058,2017
12057011605,0.612149533,13.467289726,22.0,7.0,0.8928571428571428,,,2017
12057011803,0.484745763,27.145762728,56.0,3.0,0.5454545454545455,8.0,0.9433962264150944,2017
12057011901,0.574534161,51.133540329,89.0,7.0,3.8461538461538463,,,2017
12057012001,0.522727273,8.886363640999999,17.0,6.0,1.366742596810934,,,2017
12057013314,0.44,7.92,18.0,2.0,0.3766478342749529,0.0,0.0,2017
12057001800,0.531976744,39.366279056,74.0,6.0,1.8575851393188851,1.0,0.1615508885298869,2017
12057002400,0.62804878,18.21341462,29.0,4.0,0.7207207207207207,,,2017
12057002600,0.45,16.2,36.0,0.0,0.0,0.0,0.0,2017
12057002800,0.463414634,2.780487804,6.0,4.0,0.5594405594405595,1.0,0.0911577028258887,2017
12057980500,,,,,,,,2017
12057980600,,,,,,,,2017
12057980700,,,,,,,,2017
12057990000,,,,,,,,2017
12057990100,,,,,,,,2017
12057010814,0.470588235,21.64705881,46.0,0.0,0.0,,,2017
12057010815,0.517241379,32.586206877,63.0,,,,,2017
12057010816,0.544827586,70.282758594,129.0,1.0,inf,,,2017
12057010817,0.567669173,65.849624068,116.0,1.0,0.5050505050505051,0.0,0.0,2017
12057010818,0.539665971,85.806889389,159.0,2.0,11.11111111111111,,,2017
12057011012,0.47826087,4.30434783,9.0,2.0,0.1196888090963494,7.0,0.3491271820448878,2017
12057011013,0.5727272729999999,10.881818187,19.0,3.0,0.591715976331361,3.0,0.4189944134078212,2017
12057011014,0.453488372,5.441860464,12.0,,,1.0,inf,2017
12057011015,0.4629629629999999,45.370370374,98.0,4.0,0.975609756097561,3.0,0.4016064257028112,2017
12057011016,0.58974359,4.71794872,8.0,0.0,0.0,3.0,0.4048582995951417,2017
12057011109,0.434782609,0.869565218,2.0,3.0,0.3597122302158274,0.0,0.0,2017
12057011303,0.452830189,3.169811323,7.0,2.0,0.5361930294906166,3.0,0.4178272980501393,2017
12057011304,0.4690265489999999,10.787610627,23.0,6.0,0.591715976331361,2.0,0.1181334908446544,2017
12057011417,0.587719298,7.640350874,13.0,7.0,0.8018327605956471,4.0,0.3430531732418524,2017
