,variable_code,datasets
91,S2502_C02_019E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
92,S2502_C02_020E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
93,S2502_C02_021E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
94,S2502_C02_022E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
95,S2502_C02_023E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
96,S2502_C02_024E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
97,S2502_C02_025E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
98,S2502_C02_026E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
99,S2502_C02_027E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
100,S2502_C03_001E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
101,S2502_C03_002E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
102,S2502_C03_003E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
103,S2502_C03_004E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
104,S2502_C03_005E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
105,S2502_C03_006E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
106,S2502_C03_007E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
107,S2502_C03_008E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
108,S2502_C03_009E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
109,S2502_C03_010E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
110,S2502_C03_011E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
111,S2502_C03_012E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
112,S2502_C03_013E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
113,S2502_C03_014E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
114,S2502_C03_015E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
115,S2502_C03_016E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
116,S2502_C03_017E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
117,S2502_C03_018E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
118,S2502_C03_019E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
119,S2502_C03_020E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
120,S2502_C03_021E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
121,S2502_C03_022E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
122,S2502_C03_023E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
123,S2502_C03_024E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
124,S2502_C03_025E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
125,S2502_C03_026E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
126,S2502_C03_027E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
127,S2504_C01_001E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
128,S2504_C01_002E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
129,S2504_C01_003E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
130,S2504_C01_004E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
131,S2504_C01_005E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
132,S2504_C01_006E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
133,S2504_C01_007E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
134,S2504_C01_008E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
135,S2504_C01_009E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
136,S2504_C01_010E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
137,S2504_C01_011E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
138,S2504_C01_012E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
139,S2504_C01_013E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
140,S2504_C01_014E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
141,S2504_C01_015E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
142,S2504_C01_016E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
143,S2504_C01_017E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
144,S2504_C01_018E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
145,S2504_C01_019E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
146,S2504_C01_020E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
147,S2504_C01_021E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
148,S2504_C01_022E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
149,S2504_C01_023E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
150,S2504_C01_024E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
151,S2504_C01_025E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
152,S2504_C01_026E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
153,S2504_C01_027E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
154,S2504_C01_028E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
155,S2504_C01_029E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
156,S2504_C01_030E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
157,S2504_C01_031E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
158,S2504_C01_032E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
159,S2504_C01_033E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
160,S2504_C01_034E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
161,S2504_C01_035E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
162,S2504_C01_036E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
163,S2504_C01_037E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
164,S2504_C02_001E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
165,S2504_C02_002E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
166,S2504_C02_003E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
167,S2504_C02_004E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
168,S2504_C02_005E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
169,S2504_C02_006E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
170,S2504_C02_007E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
171,S2504_C02_008E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
172,S2504_C02_009E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
173,S2504_C02_010E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
174,S2504_C02_011E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
175,S2504_C02_012E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
176,S2504_C02_013E,"hill_14, miami_dade_14, orange_14, hill_19, miami_dade_19, orange_19"
